content_id,content_type,thumbnail_url,title,summary,status,original_title
A0241,애니메이션,https://image.tmdb.org/t/p/w500/d1SLKTqBuBKAzhupohSBLeEQ8zo.jpg,역시 내 청춘의 러브 코미디는 잘못됐다.,"치바시립 소부고등학교에 다니는 고교 2학년생 ‘히키가야 하치만’은 비뚤어진 성격으로 친구를 일절 사귀지 않지만, 생활지도 교사 ‘히라츠카 시즈카’의 눈에 띄어 학교 제일의 미소녀 ‘유키노시타 유키노’가 소속된 봉사부에 입부하게 된다. 봉사부는 학교의 문제를 해결하는데 도움을 주는 부로, 공개적으로 그 활동이 드러나있지 않은 비밀스러운 조직으로 시즈카의 소개로만 입부된다. 하치만은 봉사부에 입부한 뒤로 도움을 요청하는 친구들에게 도움을 주며 지금까지와는 전혀 다른 학교생활을 하게 되는데...",방영 종료,やはり俺の青春ラブコメはまちがっている。
A0242,애니메이션,https://image.tmdb.org/t/p/w500/cY43oegkEgMhVtsRPrP6eActeWU.jpg,한마 바키,"지상 최강의 생명체인 아버지를 쓰러뜨려야 하는 숙명을 타고난 남자, 한마 바키. 사상 초유의 부자 대결을 앞두고, 미국 최강의 죄수 미스터 언체인과 싸우기 위해 제 발로 교도소에 들어간다.",방영 종료,範馬刃牙
A0243,애니메이션,https://image.tmdb.org/t/p/w500/iR6T6QxSJpSQi1S4GGjGWLQkSva.jpg,귀멸의 칼날,"2019년 4월 Tokyo MX에서 방영을 시작한 애니메이션. 고토게 코요하루의 동명의 만화를 원작으로 한다. 다이쇼 시대, 가난하지만 가족들과 함께 행복한 일상을 보내던 카마도 탄지로. 설이 오기 전에 숯을 잔뜩 팔아 가족들을 배불리 먹여주고 싶었던 탄지로는 혼자 마을로 내려가 숯을 판다. 다음날이 밝고 집에 도착한 탄지로는 가족들이 처참하게 몰살당한 모습을 보고, 유일하게 살아있던 여동생 네즈코를 구하기 위해 그녀를 의사에게 데려가려 하지만 네즈코는 이미 혈귀가 되어 있었다. 가혹한 운명의 사슬을 끊어내고 세상에서 혈귀를 멸하려, 지금 탄지로가 복수의 칼날을 높이 든다.",방영 종료,鬼滅の刃
A0244,애니메이션,https://image.tmdb.org/t/p/w500/fPo5XKxuSK5KEEa5DBu5GSY5ZPb.jpg,"샹그릴라 프론티어 ~망겜 헌터, 갓겜에 도전하다~","세상에 100개의 갓겜이 있다면, 1000개의 망겜이 있다. 망겜을 클리어하는 데 열정을 바쳐 온 '망겜 헌터' 히즈토메 라쿠로. 그가 다음에 도전한 것은 망겜의 대척점에 위치한, 총 플레이어 수 3000만 명에 달하는 '갓겜'──[샹그릴라 프론티어]였다. 모이는 동료, 확장되는 세계. 그리고 숙적과의 만남이 그와 모든 플레이의 운명을 바꾼다. '망겜 헌터'가 갓겜에 도전하는 최고의 '게임 x 판타지' 모험담, 개막!!",방영 중,シャングリラ・フロンティア
A0245,애니메이션,https://image.tmdb.org/t/p/w500/vjR9ZOYXQsXU8AUgnxDfZhyzaWf.jpg,기생수,"어느날 우주로부터 정체불명의 생명체가 지구에 도착하고, 그들은 인간의 뇌에 기생하며 육체마저 변이시켜 인간을 식인생물로 만들고 만다. 한편 평범한 고교생이던 이즈미 신이치 역시 이 생명체의 습격을 받으나 간신히 뇌를 지켜 오른손만을 기생당하게 되고, 이후 인간사회에 숨어들어 각종 사건을 일으키는 다른 기생수들과 싸워나가야 하는 처지에 빠진다.",방영 종료,寄生獣 セイの格率
A0246,애니메이션,https://image.tmdb.org/t/p/w500/AdTMMNiT8HGGlq17AwDTihsGzhF.jpg,닥터 슬럼프,펭귄 마을의 천재 박사 '슬럼프'가 갑작스러운 번개 사고로 예상치 못했던 꼬마 로봇 '아리'를 탄생시키게 되며 벌어지는 애니메이션,방영 종료,Dr.スランプ アラレちゃん
A0247,애니메이션,https://image.tmdb.org/t/p/w500/jyqi5BkDoKKIA2WAoz3HBtRHld3.jpg,페이트 / 스테이 나이트 [무한의 검제],성배의 주인을 결정하는 비밀 대회의 출전자로 선택된 고등학생 린과 시로는 의기투합하여 힘을 합친다.,방영 종료,Fate/stay night [Unlimited Blade Works]
A0248,애니메이션,https://image.tmdb.org/t/p/w500/sHriU7cwFxz1tcwAZSJlMOTy7QK.jpg,윈브레 -WINBRE-,"성적은 최저, 싸움은 최강. 불량 학교로 이름 높은, 후우린 고교. 그 정상을 차지하기 위해, 마을 밖에서 온 고교 1학년 사쿠라 하루카. 하지만, 현재의 후우린 고교는 ‘보후우린’이란 이름으로 마을을 지키는 집단이 돼 있는데!? 불량 고교생 사쿠라의 영웅 전설, 지금 개막!",방영 종료,WIND BREAKER
A0249,애니메이션,https://image.tmdb.org/t/p/w500/zUJAsZOiJy8vfwmWxabdarcBsl9.jpg,울려라! 유포니엄,"고등학교 1학년 봄. 중학교 시절 취주악부였던 오우마에 쿠미코는 클래스메이트 카토 하즈키, 카와시마 사파이어와 함께 취주악부 견학을 간다. 거기서 쿠미코는 예전에 동급생이었던 코우사카 레이나를 보게 된다. 하즈키와 사파이어 는 취주악부 입부를 결정한 것 같지만, 아직 결정하지 못 한 쿠미코. 문뜩 떠오른 건 중학교 취주악 콩쿨에서 있었던 레이나와의 사건이었다. 취주악부 활동을 통해 찾아가는 소중한 것들. 이것은 진심으로 부딪히는 소녀들의 청춘이야기",방영 종료,響け！ユーフォニアム
A0250,애니메이션,https://image.tmdb.org/t/p/w500/u8r3CvIXQ3VtUq1KyHiHYby2dR1.jpg,비질랜티 -나의 히어로 아카데미아 ILLEGALS-,"하이마와리 코이치는 히어로를 동경하면서도 꿈을 포기한 시원찮은 대학생. 그런 그의 은밀한 즐거움은, 올마이트를 코스프레한 모습으로 거리를 배회하며 프로 히어로인 척 남 돕기에 힘쓰는 것이었다. 평범한 나날을 보내고 있던 코이치였지만 무허가로 게릴라 라이브를 진행하는 자칭 프리 아이돌 팝☆스텝, 자신을 쓰레기 전문 청소부라 칭하는 수수께끼 복면남 너클 더스터를 만나 비질랜티 활동에 동참하게 된다. 비합법적으로 사람들을 구하는 그들은 질서를 어지럽히는 범죄자인가, 정의의 자경단인가. 비합법 히어로 ‘비질랜티’의 이야기가 지금 막을 연다!",방영 종료,ヴィジランテ -僕のヒーローアカデミア ILLEGALS-
A0251,애니메이션,https://image.tmdb.org/t/p/w500/enDM0Zw9Ih6P79SB5oujhSGa6qR.jpg,벤 10,평범한 소년 벤 테니슨의 대변신! 캠핑 갔다가 손에 넣은 신기한 장치에 이런 놀라운 능력이? 이것만 있으면 10가지 모습의 외계인으로 변신할 수 있다고. 나는야 슈퍼히어로!,방영 종료,Ben 10
A0252,애니메이션,https://image.tmdb.org/t/p/w500/vOONcAbFSVCOgct9k4JJPLbPvOi.jpg,나 혼자만 레벨업 -리어웨이크닝-,"다른 차원과 이쪽 세계를 이어 주는 통로인 '게이트가' 갑자기 발생한 지 10여 년. 세계에는 '헌터'라고 불리는 초인적인 힘에 각성한 사람들이 출현했다. 헌터는 그 힘을 사용해 게이트 안의 던전을 공략하고 대가를 받는 것을 생업으로 하고 있는데 강자들만 모인 헌터들 중 '성진우'는 인류 최약병기라 불리는 저랭크 헌터로서 생활하고 있었다. 어느 날, 저랭크 던전에 숨겨진 고랭크 이중 던전에서 빈사의 중상을 입은 성진우의 눈앞에 수수께끼의 퀘스트창이 나타났다. 죽음의 순간, 퀘스트를 수락하기로 결심한 성진우는 자신만 '레벨업'할 수 있게 되는데── 전직 퀘스트를 클리어하고 그림자 병사를 부릴 수 있는 '그림자 군주'가 된 성진우의 앞에 다음 시련으로서 나타난 것은 상급 던전으로 이어지는 레드 게이트였다──",개봉,俺だけレベルアップな件 -ReAwakening-
A0253,애니메이션,https://image.tmdb.org/t/p/w500/fIXhI6RvooMcCLXISHtMlY7cpDy.jpg,정령환상기,"벨트람 왕국 슬럼가의 고아로 힘겹게 살아가는 리오. 어느 날, 갑작스러운 사고로 사망한 '아마카와 하루토'의 기억이 떠오르고, 자신이 이 세계로 전생한 것이라는 사실을 깨닫는다. 그 후 자신 안에 있는 강력한 마력으로 우연히 공주를 구하게 되면서 왕립학원에 입학하게 되는데… 전생과 현생이 교차하는 두 개의 기억을 가진 소년이 만남과 이별을 거듭하면서 가혹한 운명을 깨트려 나간다!",방영 종료,精霊幻想記
A0254,애니메이션,https://image.tmdb.org/t/p/w500/kbFIKt6NGppNr7OOn288A8gBObs.jpg,빌리와 맨디의 무시무시한 모험,,방영 종료,The Grim Adventures of Billy and Mandy
A0255,애니메이션,https://image.tmdb.org/t/p/w500/8jbo0LZ4cVrPI3IagPlizIwY7YT.jpg,카드캡터 체리,"어느 날 밤 이상한 꿈을 꾸고 난 사쿠라는 아빠의 서재에서 꿈에서 본 책을 발견한다. 책 속에서 발견한 카드를 읽는 순간, 신비한 빛이 쏟아지면서 봉인된 카드의 파수꾼인 ′케로베로스′를 잠에서 깨운다. 그러나 카드 집을 열면서 크로우 카드의 봉인이 풀려 다시 카드를 모아야 하는데....",방영 종료,カードキャプターさくら
A0256,애니메이션,https://image.tmdb.org/t/p/w500/H78ZF0JPjl86QxBtkyWhUH3nvr.jpg,푸른 상자,"농구부의 스타 치나츠를 멀리서 지켜보며 줄곧 짝사랑해 온 배드민턴부의 타이키. 그러던 어느 봄날, 두 사람의 거리가 갑자기 가까워지는 깜짝 놀랄 사건이 일어난다.",방영 중,アオのハコ
A0257,애니메이션,https://image.tmdb.org/t/p/w500/wJLbqX5VFCxViBHC0IkMRZmEkPq.jpg,옆집 천사님 때문에 어느샌가 인간적으로 타락한 사연,"고등학교에 진학해 자취를 시작한 고등학교 1학년 후지미야 아마네.

그가 살고 있는 맨션의 옆집에는 학교 제일의 미소녀 시이나 마히루가 살고 있다.

특별히 얽힐 일이 없었던 두 사람이었지만,

빗속에서 흠뻑 젖은 마히루에게 우산을 빌려주게 되면서 기묘한 교류가 시작된다.

혼자서 게으르게 살던 아마네를 보다 못해 식사를 만들어 주고, 방을 청소해 주면서 보살펴주는 마히루.

이웃인 둘의 마음은 천천히 조금씩 서로 통하게 된다.

이것은 귀여운 이웃과의 달콤하고 애틋한 사랑 이야기....",방영 종료,お隣の天使様にいつの間にか駄目人間にされていた件
A0258,애니메이션,https://image.tmdb.org/t/p/w500/slKxVp3rGwUFQNglVi5oKx6ICjg.jpg,플루토,"최고로 진화한 세계 7대 로봇과 그들을 지지하는 인간이 차례로 살해되는 사건이 일어난다. 곧이어 게지히트 형사는 자신에게도 위험이 닥쳤음을 깨닫는데.

수많은 사람이 걸작이라 칭송하는 원작 만화 《플루토》는 1964년에 발표된 테즈카 오사무의 《우주소년 아톰》 중 '지상 최강의 로봇' 편을 바탕으로 탄생한 작품으로, 우라사와 나오키(《20세기 소년》 《야와라! 》 《마스터 키튼》)와 그의 오랜 협업 파트너 나가사키 타카시가 창작했다.

인류와 고도로 진화한 로봇이 조화롭게 공존하는 새로운 미래 사회를 배경으로 펼쳐지는 서스펜스 드라마 《플루토》. 전 세계적으로 호평받은 이 만화는 테즈카 오사무 문화상을 비롯해 수많은 상을 휩쓸었다. 2015년에는 연극으로 제작되기도 했는데, 관객의 뜨거운 성원에 힘입어 2018년에 재상연되었으며 일본과 유럽 투어도 진행했다.",방영 종료,PLUTO
A0259,애니메이션,https://image.tmdb.org/t/p/w500/akCQkLWz4TBWO7PMgC8VeBYf4mX.jpg,듀라라라!!,"도쿄 이케부쿠로. 도시의 비일상을 동경하는 소년 류가미네 미카도는 소꿉친구인 키다 마사오미의 권유로 이케부쿠로에 있는 고등학교에 입학하기 위해 상경한다. 그 이케부쿠로에 살아가기 위해선 적으로 만들면 안 되는 존재들이 있었다. 이케부쿠로 최강의 사나이, 헤이와지마 시즈오. 수수께기의 정보상, 오리하라 이자야. 그리고 기묘한 조직 체계를 갖고 있는 정체불명의 조직 “달라즈”. 상경한 첫날부터 온갖 불안과 기대감이 교차하는 가운데 미카도가 목격하게 된 또 하나의 존재. 그것은 칠흑 같은 오토바이를 타고 거리를 누비는 이케부쿠로의 도시전설 “목 없는 라이더”였다. 연속 괴한 습격 사건, 정체불명의 조직“달라즈” 이케부쿠로 거리가 다시 소란스러워지기 시작했다--.",방영 종료,デュラララ!!
